Fish Name,Physical Description,Object Names
Bluespotted ribbontail ray,"body: The Bluespotted ribbontail ray has a broad, diamond-shaped body with a rounded snout and a long, slender tail that is about 1.5 times the length of its body, typically growing up to 35 cm in width and 70 cm in length; colors: Its dorsal side is brownish-yellow to olive-brown with bright blue spots, while its ventral side is white or pale yellow, with a distinctive blue stripe running along the edges of its disc; features: It has a pair of relatively long and slender pectoral fins, a low dorsal fin located near the tail, and a small caudal fin; unique_marks: The Bluespotted ribbontail ray is easily recognizable by its bright blue spots, long tail, and distinctive blue stripe along the edges of its disc, as well as the presence of a series of small, thorn-like spines running along the midline of its back.","fish_images/Bluespotted-ribbontail-ray/bluespotted-ribbontail-ray-001.png, fish_images/Bluespotted-ribbontail-ray/bluespotted-ribbontail-ray-002.png, fish_images/Bluespotted-ribbontail-ray/bluespotted-ribbontail-ray-003.png"
Bowmouth guitarfish,"body: The Bowmouth guitarfish has a broad and flattened body, with a distinctive bow-shaped mouth and a long, pointed snout, typically growing to an average length of 100-150 cm (3.3-4.9 ft) and weighing up to 27 kg (59.5 lbs); colors: The species has a mottled brown and yellowish-brown coloration, often featuring darker brown or greyish-brown blotches and spots, with a lighter-colored belly and darker-colored back; features: The Bowmouth guitarfish has a distinctive pair of pectoral fins that resemble the shape of a guitar, a long dorsal fin, and a relatively small anal fin, with rough, sandpapery skin and small, blunt teeth; unique_marks: A distinctive characteristic of the Bowmouth guitarfish is the presence of a pair of lateral extensions on either side of the head, which resemble a pair of 'horns', along with the bow-shaped mouth and the guitar-like pectoral fins.","fish_images/Bowmouth-guitarfish/bowmouth-guitarfish-001.png, fish_images/Bowmouth-guitarfish/bowmouth-guitarfish-002.png, fish_images/Bowmouth-guitarfish/bowmouth-guitarfish-003.png"
Shovelnose guitarfish,"body: The Shovelnose guitarfish has a broad, flat head and a long, pointed snout that resembles a shovel, with the body being rhomboid in shape and tapering towards the tail, typically growing to a length of 28-30 inches and weighing up to 10 pounds; colors: The species has a brown or tan color on its back with numerous small white spots and a white belly, often with a distinctive dark stripe running along its sides; features: The Shovelnose guitarfish has large pectoral fins that are fused to its head, small dorsal fins, and a long, pointed tail, with its body covered in small, tooth-like scales called denticles; unique_marks: The species can be identified by its distinctive shovel-like snout and the presence of a lateral line that runs along its sides, as well as the fusion of its pectoral fins to its head, which is a characteristic unique to guitarfish.","fish_images/Shovelnose-guitarfish/shovelnose-guitarfish-001.png, fish_images/Shovelnose-guitarfish/shovelnose-guitarfish-002.png, fish_images/Shovelnose-guitarfish/shovelnose-guitarfish-003.png"
Commerson's frogfish,"body: The body of Commerson's frogfish is rounded and somewhat flattened, with a size range of approximately 5 to 38 centimeters in length; colors: They display a range of colors including yellow, orange, red, brown, gray, and black, often featuring irregular spots or blotches and sometimes with a white or pale underside; features: They have a large head with a flat face, a mouth lined with small teeth, and a distinctive illicium or fishing rod on top of the head that is used for luring prey, with large pectoral and pelvic fins and a rounded tail fin; unique_marks: One of the distinctive identifying characteristics of Commerson's frogfish is the presence of a long, thin, and usually striped illicium that is used as a lure to attract prey, as well as the ability to change color to blend in with their surroundings.","fish_images/Commerson's-frogfish/commerson's-frogfish-001.png, fish_images/Commerson's-frogfish/commerson's-frogfish-002.png, fish_images/Commerson's-frogfish/commerson's-frogfish-003.png"
Painted frogfish,"body: The Painted frogfish has a rounded, elongated body shape with a flattened head and a tapering tail, typically growing to a length of about 8-15 centimeters; colors: They display vibrant coloration patterns featuring a combination of shades of pink, yellow, white, and brown, often with intricate markings resembling brush strokes or patches, allowing them to blend in with their surroundings; features: The Painted frogfish has small pectoral fins and a distinctive illicium or 'fishing rod' on its head, which it uses for luring prey, its body is covered in small, wart-like protrusions, and it has a relatively small mouth; unique_marks: A unique identifying characteristic of the Painted frogfish is the presence of a distinctive 'fishing rod' or illicium on its head, which is used to lure prey, as well as its vibrant, mottled coloration patterns that vary between individuals.","fish_images/Painted-frogfish/painted-frogfish-001.png, fish_images/Painted-frogfish/painted-frogfish-002.png, fish_images/Painted-frogfish/painted-frogfish-003.png"
Crocodile snake eel,"body: The Crocodile snake eel has a slender elongated body that resembles a snake, typically growing up to 30 inches in length, with a maximum recorded length of 35 inches; colors: The body is usually brown or yellowish-brown in color with a lighter underside, often featuring darker spots or blotches that can be arranged in a mottled or striped pattern; features: The head is pointed and snake-like, with a long pointed snout and small eyes, it has a dorsal fin that runs along most of its body and is continuous with the anal fin, and its scales are small and smooth; unique_marks: The Crocodile snake eel has a distinctive set of large canine-like teeth in the lower jaw and a pair of small pectoral fins, it also has a unique way of moving through the sand using a wavelike motion of its body.","fish_images/Crocodile-snake-eel/crocodile-snake-eel-001.png, fish_images/Crocodile-snake-eel/crocodile-snake-eel-002.png, fish_images/Crocodile-snake-eel/crocodile-snake-eel-003.png"
Laced moray,"body: The Laced moray has a slender, elongated body shape typical of moray eels, with a maximum recorded length of approximately 60 centimeters or 24 inches; colors: The species is characterized by a brownish or yellowish-brown color with a distinctive lacy or reticulated pattern of darker brown or black markings, often with a lighter-colored belly; features: The Laced moray has a pointed snout, relatively small eyes, and a mouth lined with numerous small teeth, with dorsal and anal fins that are continuous and low, and the scales are absent or very small; unique_marks: A distinctive feature of the Laced moray is the presence of a dark brown or black stripe that runs from the tip of the snout, through the eye, and along the lateral line, as well as the intricate lacy pattern of darker markings that gives the species its name.","fish_images/Laced-moray/laced-moray-001.png, fish_images/Laced-moray/laced-moray-002.png, fish_images/Laced-moray/laced-moray-003.png"
Fimbriated moray,"body: The Fimbriated moray has a long, slender, and elongated body shape typical of moray eels, with a maximum recorded length of approximately 80 centimeters; colors: The species displays a brownish or yellowish-brown coloration with a distinctive pattern of darker brown or black spots or blotches that may be rounded or irregular in shape, often with a lighter-colored belly; features: The Fimbriated moray has a pointed snout and a relatively small mouth with numerous small teeth, its dorsal and anal fins are low and continuous, and it lacks pectoral fins, with its body covered in small, non-overlapping scales; unique_marks: One of the distinctive identifying characteristics of the Fimbriated moray is the presence of numerous small, finger-like projections or fimbriae on the edges of its jaws, which are thought to aid in the capture and manipulation of prey.","fish_images/Fimbriated-moray/fimbriated-moray-001.png, fish_images/Fimbriated-moray/fimbriated-moray-002.png, fish_images/Fimbriated-moray/fimbriated-moray-003.png"
Giant moray,"body: The Giant moray has a long, slender, and elongated body shape, typically growing to an average length of 3 meters, with the largest recorded specimen reaching up to 3.9 meters, and weighing up to 30 kilograms; colors: The coloration pattern of the Giant moray is mottled brown and yellowish, with a distinctive pattern of darker brown or black spots and blotches on its back, and a lighter-colored belly; features: The Giant moray has a distinctive head shape with a long, pointed snout, a large mouth with many sharp teeth, and small eyes, its dorsal fin is continuous, and its anal fin is similar in shape and size to the dorsal fin, the scales are small and smooth; unique_marks: One of the unique identifying characteristics of the Giant moray is the presence of a pair of small, jaw-like structures in the throat, which are used for grasping and eating prey, and its pattern of spots and blotches, which can vary between individuals, making each fish unique.","fish_images/Giant-moray/giant-moray-001.png, fish_images/Giant-moray/giant-moray-002.png, fish_images/Giant-moray/giant-moray-003.png"
Greyface moray eel,"body: The Greyface moray eel has a slender elongated body, typical of moray eels, and can grow up to 30 centimeters in length; colors: It has a brownish-grey coloration with a lighter grey or white belly, and a distinctive pale yellow or grey face mask that covers the snout, mouth and jaws; features: The Greyface moray eel has a pointed snout, small eyes, and a mouth lined with many small teeth, its dorsal and anal fins are low and continuous, and it lacks pectoral fins; unique_marks: A distinctive pale yellow or grey face mask, a brownish-grey body with a lighter grey or white belly, and a pattern of darker brown or black spots or blotches along the body.","fish_images/Greyface-moray-eel/greyface-moray-eel-001.png, fish_images/Greyface-moray-eel/greyface-moray-eel-002.png, fish_images/Greyface-moray-eel/greyface-moray-eel-003.png"
Spotted garden eel,"body: The Spotted garden eel has a long, slender, and elongated body shape, typically growing up to 40-60 cm in length and 2-3 cm in diameter, with some specimens reaching up to 80 cm; colors: The body is usually yellowish-brown or tan in color with numerous small dark brown spots that cover the entire body, including the head and fins, and a distinctive white stripe running along the snout; features: The Spotted garden eel has a pointed snout, relatively small eyes, and a mouth that is slightly upturned, the dorsal fin is divided into two parts with the front part being much smaller, the anal fin is long and pointed, and the scales are small and smooth; unique_marks: One of the most distinctive features of the Spotted garden eel is its unique way of standing upright in the sediment with its body supported by the anal and dorsal fins, and its ability to quickly retreat into its burrow when threatened.","fish_images/Spotted-garden-eel/spotted-garden-eel-001.png, fish_images/Spotted-garden-eel/spotted-garden-eel-002.png, fish_images/Spotted-garden-eel/spotted-garden-eel-003.png"
Ribbon eel,"body: The Ribbon eel has a long, slender, and elongated body, typically growing up to 40 inches in length, with the females being larger than the males; size: The average size of a Ribbon eel is around 20-30 inches; colors: The Ribbon eel has a striking coloration pattern, with a bright yellow body and a long, flowing black stripe that runs along its back, from the tip of the snout to the tip of the tail, and a blue stripe that runs along the belly; features: The Ribbon eel has a pointed snout, a long dorsal fin that runs along its back, and a small anal fin, its scales are small and smooth, and its head is long and pointed; unique_marks: A unique identifying characteristic of the Ribbon eel is its ability to change sex from male to female, and its distinctive black stripe that runs along its back, which is present in both males and females, but is more prominent in females.","fish_images/Ribbon-eel/ribbon-eel-001.png, fish_images/Ribbon-eel/ribbon-eel-002.png, fish_images/Ribbon-eel/ribbon-eel-003.png"
Scrawled filefish,"body: The Scrawled filefish has a moderately compressed, oval-shaped body that can grow up to 70 centimeters in length, with the average size ranging from 30 to 50 centimeters; colors: The coloration patterns of the Scrawled filefish vary, but they typically display a brownish or grayish background with numerous yellow or white spots and stripes, often with a distinctive scrawled or scribbled pattern on the body; features: The Scrawled filefish has a distinctive head shape with a long, pointed snout and a mouth that is equipped with small, pointed teeth, the dorsal fin is divided into two parts, with the first part being much taller than the second, and the scales are rough to the touch; unique_marks: One unique identifying characteristic of the Scrawled filefish is the presence of small, fleshy tentacles or cirri above the eyes and on the snout, which can be used for sensory purposes, and the species also has a distinctive pattern of spots and stripes on the body that can be used to distinguish it from other filefish species.","fish_images/Scrawled-filefish/scrawled-filefish-001.png, fish_images/Scrawled-filefish/scrawled-filefish-002.png, fish_images/Scrawled-filefish/scrawled-filefish-003.png"
White-spotted puffer,"body: The White-spotted puffer has a rounded body shape that is typically 10 to 30 centimeters in length, with the ability to inflate its body to nearly twice its normal size when threatened; colors: The fish has a brown or grayish-brown back and white or yellowish belly, with numerous small white spots on its back and sides, and sometimes a few spots on the belly; features: The White-spotted puffer has small dorsal and anal fins that are located far back on the body, and lacks pelvic fins, its skin is smooth and lacks scales, and its head is rounded with a short snout and relatively small mouth with fused teeth; unique_marks: A unique identifying characteristic of the White-spotted puffer is the presence of numerous small white spots on its back and sides, and its ability to inflate its body when threatened, which is made possible by the ingestion of air or water that is then stored in the stomach and intestines.","fish_images/White-spotted-puffer/white-spotted-puffer-001.png, fish_images/White-spotted-puffer/white-spotted-puffer-002.png, fish_images/White-spotted-puffer/white-spotted-puffer-003.png"
Map puffer,"body: The Map puffer has a rounded, oval-shaped body that can grow up to 20 centimeters in length, with the average size ranging from 10 to 15 centimeters; colors: The Map puffer has a brown or yellowish-brown base color with distinctive darker brown or black map-like markings and spots, often with lighter patches on the belly; features: The Map puffer has small, bead-like scales, a short snout, and relatively small dorsal and anal fins that are rounded at the tips, with the dorsal fin being slightly larger than the anal fin; unique_marks: The Map puffer has a unique pattern of darker markings on its body that resemble a map, with distinctive lines and spots that can vary in intensity and shape, making each individual's pattern unique.","fish_images/Map-puffer/map-puffer-001.png, fish_images/Map-puffer/map-puffer-002.png, fish_images/Map-puffer/map-puffer-003.png"
Blackspotted puffer,"body: The Blackspotted puffer has an oval-shaped body that can grow up to 30 centimeters in length; colors: The body is typically yellowish-brown with black spots, and the belly is white or pale yellow; features: It has small dorsal and anal fins, and its body is covered in small spines; unique_marks: The distinctive black spots on its body, along with a distinctive pattern of spots and stripes on its head, and the ability to inflate its body when threatened or disturbed.","fish_images/Blackspotted-puffer/blackspotted-puffer-001.png, fish_images/Blackspotted-puffer/blackspotted-puffer-002.png, fish_images/Blackspotted-puffer/blackspotted-puffer-003.png"
Stellate puffer,"body: The Stellate puffer has a rounded body shape, typically growing to a size of 6-8 inches in length, with some specimens reaching up to 10 inches; colors: Its coloration pattern consists of a mottled brown and yellowish-brown background with numerous small, dark spots or blotches, and a white or cream-colored belly; features: It has relatively small dorsal and anal fins, a small mouth, and a distinctive head shape with large eyes; unique_marks: A distinctive characteristic of the Stellate puffer is the presence of small, star-shaped spots or markings on its body, from which it gets its name, as well as its ability to inflate its body when threatened, like other pufferfish.","fish_images/Stellate-puffer/stellate-puffer-001.png, fish_images/Stellate-puffer/stellate-puffer-002.png, fish_images/Stellate-puffer/stellate-puffer-003.png"
Orange-lined triggerfish,"body: The Orange-lined triggerfish has a laterally compressed, oval-shaped body, typically growing to a length of 30 centimeters, with a maximum recorded length of about 40 centimeters; colors: The body is primarily blue-gray in color, with vibrant orange-yellow stripes running horizontally along the sides, a distinctive orange stripe above the eye, and a yellowish-orange belly; features: The fish has large dorsal and anal fins, a relatively small mouth, and a distinctive 'trigger' mechanism formed by the dorsal fin spines that can be locked into place for defense; unique_marks: A distinctive orange stripe above the eye and the vibrant orange-yellow horizontal stripes along the sides of the body are key identifying characteristics of the Orange-lined triggerfish.","fish_images/Orange-lined-triggerfish/orange-lined-triggerfish-001.png, fish_images/Orange-lined-triggerfish/orange-lined-triggerfish-002.png, fish_images/Orange-lined-triggerfish/orange-lined-triggerfish-003.png"
Clown triggerfish,"body: The Clown triggerfish has a compressed, oval-shaped body, typically growing to a length of 16-20 inches (40-50 cm) and weighing up to 3 pounds (1.4 kg), with a maximum recorded length of 24 inches (60 cm); colors: The fish has a predominantly yellowish-brown body with distinctive white or yellow stripes, and a black stripe running across the eyes, with a blue or greenish tint on the fins and tail; features: It has large dorsal and anal fins with a distinctive 'trigger' mechanism, which is actually a dorsal spine that can be raised and locked in place for defense, the scales are large and rough, and the head is relatively small with a short snout; unique_marks: The most distinctive feature of the Clown triggerfish is the long, pointed snout-like extension on the lower jaw, which is actually a modified mouthpart used for eating and manipulating food, and the vibrant yellow or white stripes on the body that can vary in intensity depending on the fish's mood and environment.","fish_images/Clown-triggerfish/clown-triggerfish-001.png, fish_images/Clown-triggerfish/clown-triggerfish-002.png, fish_images/Clown-triggerfish/clown-triggerfish-003.png"
Titan triggerfish,"body: The Titan triggerfish has a robust, oval-shaped body that is laterally compressed, typically growing up to 75 centimeters in length, although the average length is around 30-60 centimeters, and can weigh up to 7 kilograms; colors: The Titan triggerfish has a distinctive coloration pattern, with a blue-green back and white belly, featuring yellow or white spots or stripes on the upper body, and blue or green stripes on the lower body, with a blue or yellow stripe running from the mouth to the pectoral fin; features: The Titan triggerfish has a distinctive 'trigger' mechanism, which is formed by the dorsal and anal fins, with the dorsal fin having three spines, the first of which is very long and can be locked in place, the anal fin having three spines as well, and the caudal fin being crescent-shaped; unique_marks: A unique identifying characteristic of the Titan triggerfish is the presence of a pattern of blue or yellow lines radiating from the eye, as well as the blue or yellow stripe running from the mouth to the pectoral fin.","fish_images/Titan-triggerfish/titan-triggerfish-001.png, fish_images/Titan-triggerfish/titan-triggerfish-002.png, fish_images/Titan-triggerfish/titan-triggerfish-003.png"
Spot-fin porcupinefish,"body: The Spot-fin porcupinefish has a rounded body shape that is somewhat elongated, with a maximum length of approximately 50 centimeters; colors: Its coloration pattern typically features a brownish-yellow or tan background with darker brown spots or blotches, and a white or pale yellow belly; features: It has large, pectoral fins and small dorsal and anal fins, with a distinctive head shape that includes a short snout and relatively small eyes, its body is also covered in sharp, erectile spines that provide protection; unique_marks: A distinctive characteristic of the Spot-fin porcupinefish is the presence of a dark spot on the posterior margin of the pectoral fin, which is usually surrounded by a lighter-colored ring, this spot can be used to distinguish it from other porcupinefish species.","fish_images/Spot-fin-porcupinefish/spot-fin-porcupinefish-001.png, fish_images/Spot-fin-porcupinefish/spot-fin-porcupinefish-002.png, fish_images/Spot-fin-porcupinefish/spot-fin-porcupinefish-003.png"
Redtoothed triggerfish,"body: The Redtoothed triggerfish has an oval-shaped body that is laterally compressed, typically growing to a length of 20-30 centimeters, with a maximum recorded length of about 40 centimeters; colors: The body is predominantly yellowish-brown with a distinctive red coloration on the teeth and the inside of the mouth, and a series of vertical yellow or white stripes that may fade with age; features: The dorsal fin is divided into three spines and 23-26 soft rays, with the first spine being very strong and used for defense, the anal fin has 15-17 soft rays, and the caudal fin is forked; unique_marks: A distinctive characteristic of the Redtoothed triggerfish is the presence of large, red-colored canine teeth in the lower jaw, which are used for defense and intimidation, as well as a series of small, yellow or white spots or stripes on the body that may help with camouflage.","fish_images/Redtoothed-triggerfish/redtoothed-triggerfish-001.png, fish_images/Redtoothed-triggerfish/redtoothed-triggerfish-002.png, fish_images/Redtoothed-triggerfish/redtoothed-triggerfish-003.png"
Yellow boxfish,"body: The yellow boxfish has a distinctive box-like body shape, which is typically cube-shaped with a rounded front and flat sides, and can grow up to 9 inches in length; colors: They have a bright yellow body with black spots or stripes, often with blue or brown accents on the fins and face; features: They have small dorsal and anal fins, and their scales are often modified into bony plates called scutes, the head is rounded and the mouth is small; unique_marks: A distinctive characteristic of the yellow boxfish is its ability to inflate its body with air or water, making it appear larger, and the unique pattern of spots or stripes on its body, which can vary among individuals.","fish_images/Yellow-boxfish/yellow-boxfish-001.png, fish_images/Yellow-boxfish/yellow-boxfish-002.png, fish_images/Yellow-boxfish/yellow-boxfish-003.png"
White-spotted boxfish,"body: The White-spotted boxfish has a box-like body shape, typically growing to a length of 6-8 inches (15-20 cm), with a flat, broad head and a rounded abdomen; size: The species usually reaches a maximum length of 8 inches (20 cm) and weighs around 1.5-3.5 ounces (40-100 grams); colors: The fish has a brownish-yellow or tan color with numerous small white spots covering its body, including the fins, and sometimes it may have yellow or blue spots; features: The White-spotted boxfish has a distinctive head shape with a short snout and small mouth, its body is covered in hexagonal scales, and it has small dorsal and anal fins; unique_marks: The unique identifying characteristic of the White-spotted boxfish is the presence of a distinctive pattern of small white spots on its body, as well as its ability to inflate its body when threatened or stressed, making it appear larger.","fish_images/White-spotted-boxfish/white-spotted-boxfish-001.png, fish_images/White-spotted-boxfish/white-spotted-boxfish-002.png, fish_images/White-spotted-boxfish/white-spotted-boxfish-003.png"
Yellowmargin triggerfish,"body: The Yellowmargin triggerfish has a compressed, oval-shaped body, typically growing up to 30 centimeters in length, with a maximum recorded length of 40 centimeters; colors: The body is primarily grayish-brown with a distinctive yellow margin along the dorsal and anal fins, and a yellow stripe running along the base of the dorsal fin, with a yellowish tint on the belly; features: It has a large head, a long dorsal fin with 3 spines and 24-27 rays, and an anal fin with 3 spines and 23-26 rays, the scales are small and rough to the touch; unique_marks: A distinctive yellow margin on the dorsal and anal fins, and a pair of small, forward-facing spines on the lower jaw, known as trigger spines, which are used for defense and can be locked into place when the fish feels threatened.","fish_images/Yellowmargin-triggerfish/yellowmargin-triggerfish-001.png, fish_images/Yellowmargin-triggerfish/yellowmargin-triggerfish-002.png, fish_images/Yellowmargin-triggerfish/yellowmargin-triggerfish-003.png"
