Fish Name,Thai Fish Name,Scientific Name,Order Name,General Description,Physical Description,habitat,Avg Length(cm),Avg Age(years),Avg DepthLevel(m),Avg Weight(kg)
Shovelnose guitarfish,ปลาโรนันหัวเสียม,Rhinobatos productus,Rajiformes,"A ray with primitive features of both sharks and rays, found from central California to the Gulf of California. Mature at 7–8 years, it reaches up to 137 cm. Notable for magnetic particles in vestibular receptors. Conservation is important due to genetic diversity.","body: The Shovelnose guitarfish has a broad, flat head and a long, pointed snout that resembles a shovel, with the body being rhomboid in shape and tapering towards the tail, typically growing to a length of 28-30 inches and weighing up to 10 pounds; colors: The species has a brown or tan color on its back with numerous small white spots and a white belly, often with a distinctive dark stripe running along its sides; features: The Shovelnose guitarfish has large pectoral fins that are fused to its head, small dorsal fins, and a long, pointed tail, with its body covered in small, tooth-like scales called denticles; unique_marks: The species can be identified by its distinctive shovel-like snout and the presence of a lateral line that runs along its sides, as well as the fusion of its pectoral fins to its head, which is a characteristic unique to guitarfish.",Sandy bottoms and shallow coastal waters from central California to Gulf of California.,137,11,50,20
Commerson's frogfish,ปลากบ,Antennarius commerson,Lophiiformes,"A solitary, benthic predator with a globular, extensible body and variable coloration. Uses a lure to ambush prey, often matching its environment. Found in tropical Indo-Pacific lagoons and reefs, associated with sponges. Grows up to 38 cm; carnivorous and aggressive.","body: The body of Commerson's frogfish is rounded and somewhat flattened, with a size range of approximately 5 to 38 centimeters in length; colors: They display a range of colors including yellow, orange, red, brown, gray, and black, often featuring irregular spots or blotches and sometimes with a white or pale underside; features: They have a large head with a flat face, a mouth lined with small teeth, and a distinctive illicium or fishing rod on top of the head that is used for luring prey, with large pectoral and pelvic fins and a rounded tail fin; unique_marks: One of the distinctive identifying characteristics of Commerson's frogfish is the presence of a long, thin, and usually striped illicium that is used as a lure to attract prey, as well as the ability to change color to blend in with their surroundings.","Lagoons, sheltered rocky and coral reefs, often near sponges or structures, tropical Indo-Pacific, 1–70 m depth.",38,7,20,1
Painted frogfish,ปลากบลายเขียน,Antennarius pictus,Lophiiformes,"A benthic ambush predator with a globular, extensible body and highly variable coloration. Uses a lure to attract prey, often matching sponges or reef backgrounds. Found in Indo-Pacific reefs and lagoons, down to 75 m. Grows up to 30 cm; carnivorous.","body: The Painted frogfish has a rounded, elongated body shape with a flattened head and a tapering tail, typically growing to a length of about 8-15 centimeters; colors: They display vibrant coloration patterns featuring a combination of shades of pink, yellow, white, and brown, often with intricate markings resembling brush strokes or patches, allowing them to blend in with their surroundings; features: The Painted frogfish has small pectoral fins and a distinctive illicium or 'fishing rod' on its head, which it uses for luring prey, its body is covered in small, wart-like protrusions, and it has a relatively small mouth; unique_marks: A unique identifying characteristic of the Painted frogfish is the presence of a distinctive 'fishing rod' or illicium on its head, which is used to lure prey, as well as its vibrant, mottled coloration patterns that vary between individuals.","Sheltered rocky and coral reefs, often near sponges, Indo-Pacific, Red Sea to Hawaii, 0–75 m depth (average 15 m).",30,7,75,0.8
Crocodile snake eel,ปลาไหลมอเรย์หน้าปาน,Brachysomophis crocodilinus,Anguilliformes,"A tropical marine eel with a crocodilian appearance, found in Indo-Pacific coral reefs. Burrows in sand, ambushing prey with only eyes exposed. Diet includes octopus and fish. Grows up to 120 cm. Used in Chinese medicine; harmless to humans.","body: The Crocodile snake eel has a slender elongated body that resembles a snake, typically growing up to 30 inches in length, with a maximum recorded length of 35 inches; colors: The body is usually brown or yellowish-brown in color with a lighter underside, often featuring darker spots or blotches that can be arranged in a mottled or striped pattern; features: The head is pointed and snake-like, with a long pointed snout and small eyes, it has a dorsal fin that runs along most of its body and is continuous with the anal fin, and its scales are small and smooth; unique_marks: The Crocodile snake eel has a distinctive set of large canine-like teeth in the lower jaw and a pair of small pectoral fins, it also has a unique way of moving through the sand using a wavelike motion of its body.","Coral reefs, sandy bottoms, lagoons; Indo-Pacific (East Africa, Society Islands, Japan, Australia); depth 0–30 m (most common 0–2 m).",120,10,30,1.2
Laced moray,ปลาหลดหินลายตาข่าย,Gymnothorax favagineus,Anguilliformes,"A large, carnivorous moray eel with a serpentine body and honeycomb pattern of black spots on white or yellowish skin. Found in Indo-West Pacific coral reefs, it shelters in crevices by day and hunts fish and cephalopods at night. Can reach 300 cm.","body: The Laced moray has a slender, elongated body shape typical of moray eels, with a maximum recorded length of approximately 60 centimeters or 24 inches; colors: The species is characterized by a brownish or yellowish-brown color with a distinctive lacy or reticulated pattern of darker brown or black markings, often with a lighter-colored belly; features: The Laced moray has a pointed snout, relatively small eyes, and a mouth lined with numerous small teeth, with dorsal and anal fins that are continuous and low, and the scales are absent or very small; unique_marks: A distinctive feature of the Laced moray is the presence of a dark brown or black stripe that runs from the tip of the snout, through the eye, and along the lateral line, as well as the intricate lacy pattern of darker markings that gives the species its name.","Outer slopes of coral reefs, crevices; Indo-West Pacific (East Africa, Red Sea, Papua New Guinea, Japan, Great Barrier Reef); depth 1–50 m.",300,20,50,23
Fimbriated moray,ปลาไหลมอเรย์หน้าปาน,Gymnothorax fimbriatus,Anguilliformes,"A medium-sized carnivorous moray eel with a serpentine body, cream to light brown with black spots. Found in Indo-Pacific reefs, lagoons, and harbors, it shelters in crevices by day and hunts fish and crustaceans at night. Can reach 93 cm.","body: The Fimbriated moray has a long, slender, and elongated body shape typical of moray eels, with a maximum recorded length of approximately 80 centimeters; colors: The species displays a brownish or yellowish-brown coloration with a distinctive pattern of darker brown or black spots or blotches that may be rounded or irregular in shape, often with a lighter-colored belly; features: The Fimbriated moray has a pointed snout and a relatively small mouth with numerous small teeth, its dorsal and anal fins are low and continuous, and it lacks pectoral fins, with its body covered in small, non-overlapping scales; unique_marks: One of the distinctive identifying characteristics of the Fimbriated moray is the presence of numerous small, finger-like projections or fimbriae on the edges of its jaws, which are thought to aid in the capture and manipulation of prey.","Protected areas of outer coral reefs, lagoons, harbors; Indo-Pacific (Madagascar to Polynesia, Japan to New Caledonia); depth 0–50 m.",93,18,50,1.5
Giant moray,ปลาไหลมอเรย์ยักษ์,Gymnothorax javanicus,Anguilliformes,"The giant moray is the largest moray eel by mass, reaching up to 3 meters and 30 kg. It is nocturnal, carnivorous, and hunts cooperatively with coral groupers. Widespread in Indo-Pacific coral reefs, it is known to prey on lionfish.","body: The Giant moray has a long, slender, and elongated body shape, typically growing to an average length of 3 meters, with the largest recorded specimen reaching up to 3.9 meters, and weighing up to 30 kilograms; colors: The coloration pattern of the Giant moray is mottled brown and yellowish, with a distinctive pattern of darker brown or black spots and blotches on its back, and a lighter-colored belly; features: The Giant moray has a distinctive head shape with a long, pointed snout, a large mouth with many sharp teeth, and small eyes, its dorsal fin is continuous, and its anal fin is similar in shape and size to the dorsal fin, the scales are small and smooth; unique_marks: One of the unique identifying characteristics of the Giant moray is the presence of a pair of small, jaw-like structures in the throat, which are used for grasping and eating prey, and its pattern of spots and blotches, which can vary between individuals, making each fish unique.","Lagoons and outer slopes of coral reefs, crevices, Indo-Pacific (East Africa, Red Sea, Hawaii, Polynesia, Japan, New Caledonia, Fiji, Austral Islands), 1–50 m depth.",300,30,50,30
Greyface moray eel,ปลาไหลมอเรย์ตาขาว,Gymnothorax thyrsoideus,Anguilliformes,"The greyface moray is a medium-sized, carnivorous eel reaching up to 66 cm. It is nocturnal and benthic, hunting small fish and crustaceans at night. Widespread in Indo-Pacific, it prefers shallow, turbid lagoons and protected reefs, often sheltering with other morays.","body: The Greyface moray eel has a slender elongated body, typical of moray eels, and can grow up to 30 centimeters in length; colors: It has a brownish-grey coloration with a lighter grey or white belly, and a distinctive pale yellow or grey face mask that covers the snout, mouth and jaws; features: The Greyface moray eel has a pointed snout, small eyes, and a mouth lined with many small teeth, its dorsal and anal fins are low and continuous, and it lacks pectoral fins; unique_marks: A distinctive pale yellow or grey face mask, a brownish-grey body with a lighter grey or white belly, and a pattern of darker brown or black spots or blotches along the body.","Shallow, turbid lagoons, protected reefs, debris-rich areas, Indo-Pacific (India, Maldives, Polynesia, Japan, Australia, New Caledonia), surface to 35 m depth.",40,15,35,0.5
Spotted garden eel,ปลาไหลสวนลายจุด,Heteroconger hassi,Anguilliformes,"The spotted garden eel is a slender, colony-forming eel found in Indo-Pacific sandy areas near coral reefs at depths of 7–45 m. It feeds on drifting zooplankton by pointing its mouth into the current. Grows up to 40 cm; lives in burrows.","body: The Spotted garden eel has a long, slender, and elongated body shape, typically growing up to 40-60 cm in length and 2-3 cm in diameter, with some specimens reaching up to 80 cm; colors: The body is usually yellowish-brown or tan in color with numerous small dark brown spots that cover the entire body, including the head and fins, and a distinctive white stripe running along the snout; features: The Spotted garden eel has a pointed snout, relatively small eyes, and a mouth that is slightly upturned, the dorsal fin is divided into two parts with the front part being much smaller, the anal fin is long and pointed, and the scales are small and smooth; unique_marks: One of the most distinctive features of the Spotted garden eel is its unique way of standing upright in the sediment with its body supported by the anal and dorsal fins, and its ability to quickly retreat into its burrow when threatened.","Sandy burrows in colonies near coral reefs, Indo-Pacific (Red Sea, East Africa, Japan, Indonesia, Australia), 7–45 m depth.",40,10,30,0.1
Ribbon eel,ปลาไหลริบบิ้น,Rhinomuraena quaesita,Anguilliformes,"The ribbon eel is an elegant, protandric hermaphrodite moray found in Indo-Pacific lagoons and reefs. It displays striking color changes: juveniles are black, males blue, and females yellow. Grows up to 130 cm. Not threatened; popular but challenging in aquariums.","body: The Ribbon eel has a long, slender, and elongated body, typically growing up to 40 inches in length, with the females being larger than the males; size: The average size of a Ribbon eel is around 20-30 inches; colors: The Ribbon eel has a striking coloration pattern, with a bright yellow body and a long, flowing black stripe that runs along its back, from the tip of the snout to the tip of the tail, and a blue stripe that runs along the belly; features: The Ribbon eel has a pointed snout, a long dorsal fin that runs along its back, and a small anal fin, its scales are small and smooth, and its head is long and pointed; unique_marks: A unique identifying characteristic of the Ribbon eel is its ability to change sex from male to female, and its distinctive black stripe that runs along its back, which is present in both males and females, but is more prominent in females.","Sandy burrows, caves, and coral reefs in Indo-Pacific (East Africa, Japan, Australia, French Polynesia), lagoons and reef slopes, 3–60 m depth.",100,15,30,0.8
Scrawled filefish,ปลาวัวหางพัด,Aluterus scriptus,Tetraodontiformes,"The scrawled filefish is a medium-sized, shy, diurnal fish found in tropical oceans worldwide. It inhabits lagoons, coral and rocky reefs, and open water. Grows up to 110 cm. Its coloration varies with environment, featuring blue lines, spots, and a broom-like tail.","body: The Scrawled filefish has a moderately compressed, oval-shaped body that can grow up to 70 centimeters in length, with the average size ranging from 30 to 50 centimeters; colors: The coloration patterns of the Scrawled filefish vary, but they typically display a brownish or grayish background with numerous yellow or white spots and stripes, often with a distinctive scrawled or scribbled pattern on the body; features: The Scrawled filefish has a distinctive head shape with a long, pointed snout and a mouth that is equipped with small, pointed teeth, the dorsal fin is divided into two parts, with the first part being much taller than the second, and the scales are rough to the touch; unique_marks: One unique identifying characteristic of the Scrawled filefish is the presence of small, fleshy tentacles or cirri above the eyes and on the snout, which can be used for sensory purposes, and the species also has a distinctive pattern of spots and stripes on the body that can be used to distinguish it from other filefish species.","Lagoons, coral and rocky reefs, seaweed fields, pinnacles, wrecks, open water; circumtropical (Atlantic, Indian, Pacific Oceans).",80,15,30,3
White-spotted puffer,ปลาปักเป้ายักษ์แต้มขาว,Arothron hispidus,Tetraodontiformes,"The white-spotted puffer is a medium to large nocturnal, solitary fish found in Indo-Pacific reefs, lagoons, and tidepools at depths of 3–35 m. It reaches up to 50 cm, is territorial, and feeds on algae, molluscs, sponges, corals, and invertebrates.","body: The White-spotted puffer has a rounded body shape that is typically 10 to 30 centimeters in length, with the ability to inflate its body to nearly twice its normal size when threatened; colors: The fish has a brown or grayish-brown back and white or yellowish belly, with numerous small white spots on its back and sides, and sometimes a few spots on the belly; features: The White-spotted puffer has small dorsal and anal fins that are located far back on the body, and lacks pelvic fins, its skin is smooth and lacks scales, and its head is rounded with a short snout and relatively small mouth with fused teeth; unique_marks: A unique identifying characteristic of the White-spotted puffer is the presence of numerous small white spots on its back and sides, and its ability to inflate its body when threatened, which is made possible by the ingestion of air or water that is then stored in the stomach and intestines.","Reefs, lagoons, estuaries, tidepools; Indo-Pacific (Red Sea to eastern Pacific), 3–35 m depth.",40,12,20,1.2
Map puffer,ปลาปักเป้าหน้าลาย,Arothron mappa,Tetraodontiformes,"The map puffer is a medium-sized, solitary, diurnal fish found in tropical Indo-Pacific reefs and lagoons, from the surface to 30 m. It grows up to 65 cm, is toxic, and feeds on benthic invertebrates, sponges, and algae. Notable for its intricate body pattern.","body: The Map puffer has a rounded, oval-shaped body that can grow up to 20 centimeters in length, with the average size ranging from 10 to 15 centimeters; colors: The Map puffer has a brown or yellowish-brown base color with distinctive darker brown or black map-like markings and spots, often with lighter patches on the belly; features: The Map puffer has small, bead-like scales, a short snout, and relatively small dorsal and anal fins that are rounded at the tips, with the dorsal fin being slightly larger than the anal fin; unique_marks: The Map puffer has a unique pattern of darker markings on its body that resemble a map, with distinctive lines and spots that can vary in intensity and shape, making each individual's pattern unique.","Reef drop-offs, sheltered lagoons, tropical/subtropical Indo-Pacific (Indian Ocean to western Pacific), surface to 30 m depth.",50,10,20,1.0
Blackspotted puffer,ปลาปักเป้าหน้าหมา,Arothron nigropunctatus,Tetraodontiformes,"The blackspotted puffer is a small, solitary, territorial fish found in tropical Indo-Pacific reefs and lagoons, from the surface to 25 m. It grows up to 33 cm, is toxic, and feeds on benthic invertebrates, sponges, algae, corals, crustaceans, and mollusks. Coloration is highly variable.","body: The Blackspotted puffer has an oval-shaped body that can grow up to 30 centimeters in length; colors: The body is typically yellowish-brown with black spots, and the belly is white or pale yellow; features: It has small dorsal and anal fins, and its body is covered in small spines; unique_marks: The distinctive black spots on its body, along with a distinctive pattern of spots and stripes on its head, and the ability to inflate its body when threatened or disturbed.","External reef slopes, lagoons, tropical Indo-Pacific (Indian Ocean to central Pacific, except Red Sea), surface to 25 m depth.",25,8,15,0.7
Stellate puffer,ปลาปักเป้าก้นดำ,Arothron stellatus,Tetraodontiformes,"The stellate puffer is a large, solitary, diurnal fish found in tropical Indo-Pacific reefs, lagoons, and sandy areas from the surface to 58 m. It grows up to 120 cm, is toxic, and feeds on benthic invertebrates, sponges, algae, corals, crustaceans, and mollusks. Spot size decreases with age.","body: The Stellate puffer has a rounded body shape, typically growing to a size of 6-8 inches in length, with some specimens reaching up to 10 inches; colors: Its coloration pattern consists of a mottled brown and yellowish-brown background with numerous small, dark spots or blotches, and a white or cream-colored belly; features: It has relatively small dorsal and anal fins, a small mouth, and a distinctive head shape with large eyes; unique_marks: A distinctive characteristic of the Stellate puffer is the presence of small, star-shaped spots or markings on its body, from which it gets its name, as well as its ability to inflate its body when threatened, like other pufferfish.","External reef slopes, sheltered lagoons, sandy areas, tropical/subtropical Indo-Pacific (Indian Ocean, Red Sea, Polynesia, Japan, Australia, Lord Howe Island), surface to 58 m depth.",80,15,30,7
Orange-lined triggerfish,ปลาวัวลายส้ม,Balistapus undulatus,Tetraodontiformes,"A territorial, diurnal triggerfish with striking orange lines on a dark body. Found in Indo-Pacific coral reefs, it is a key predator of burrowing sea urchins, helping maintain reef health. Solitary, aggressive, and omnivorous, reaching up to 30 cm.","body: The Orange-lined triggerfish has a laterally compressed, oval-shaped body, typically growing to a length of 30 centimeters, with a maximum recorded length of about 40 centimeters; colors: The body is primarily blue-gray in color, with vibrant orange-yellow stripes running horizontally along the sides, a distinctive orange stripe above the eye, and a yellowish-orange belly; features: The fish has large dorsal and anal fins, a relatively small mouth, and a distinctive 'trigger' mechanism formed by the dorsal fin spines that can be locked into place for defense; unique_marks: A distinctive orange stripe above the eye and the vibrant orange-yellow horizontal stripes along the sides of the body are key identifying characteristics of the Orange-lined triggerfish.","Coral reefs, lagoons, and external reef slopes in Indo-Pacific, Red Sea, East Africa, and Japan; prefers depths of 2–50 m, adults favor rocky/branching coral, juveniles softer substrates.",30,10,20,0.7
